MANUFACTURER;BRAND;ITEM_DESCRIPTION;FORMAT;ATTR1;ATTR2;ATTR3;CATEGORY;ITEM_CODE
"RECKITT";"VANISH";"VANISH GEL CRYSTAL WHITE BOT 4LT + MM ROSA POUCH 650ML PVP 7501058794956BP1";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058794956BP1"
"RECKITT";"VANISH";"VANISH GEL ROSA POUCH 650ML + MM CRYSTAL WHITE BOT 4LT PVP 7501058794956BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058794956BP2"
"RECKITT";"VANISH";"VANISHOXIACTIONGOLDROSABOT900GR+MMCRYSTALWHITEBOT150GR PVP 7501058794963BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058794963BP1"
"RECKITT";"VANISH";"VANISHOXIACTIONGOLDCRYSTALWHITEBOT150GR+MMROSABOT900GR PVP 7501058794963BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058794963BP2"
"RECKITT";"VANISH";"VANISHOXIACTIONGOLDCRYSTALWHITEBOT900GR+MMROSABOT150GR PVP 7501058794970BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058794970BP1"
"RECKITT";"VANISH";"VANISHOXIACTIONGOLDROSABOT150GR+MMCRYSTALWHITEBOT900GR PVP 7501058794970BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058794970BP2"
"RECKITT";"VANISH";"VANISH GEL MULTIUSO BOT 925ML+MM CRYSTAL WHITE GEL BOT 900ML 7501058796578BP1";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058796578BP1"
"RECKITT";"VANISH";"VANISH CRYSTAL WHITE GEL BOT 900ML+MM GEL MULTIUSO BOT 925ML 7501058796578BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058796578BP2"
"RECKITT";"VANISH";"VANISH GEL MULTIUSO PROMO PACK 2 BOT 925 ML C/U=1.85 LT 7501058796585";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058796585"
"RECKITT";"VANISH";"VANISH SUPERBARRAGOLDC/ENZIMA SUPERPRECIO 2PZAS68GRC/U=136GR 7501058796837";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058796837"
"RECKITT";"VANISH";"VANISH SUPER BARRA WHITE GOLD SUPERPRECIO 2PZAS68GRC/U=136GR 7501058796844";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058796844"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD SUPER BARRA JUMBO 110 GR 7501058796851";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058796851"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD SUPER BARRA WHITE JUMBO 110 GR 7501058796868";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058796868"
"RECKITT";"VANISH";"VANISHOXIACTIONROSAGELDOYPACK500ML+PLANCHYTEXBOTC/ATOM650ML 7501058796950BP1";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058796950BP1"
"RECKITT";"VANISH";"VANISH OXI ACTION GOLD QUITAMANCHAS SOBRE 30GR 7501058799876";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058799876"
"RECKITT";"VANISH";"VANISH PODER 02 INTELIGENCE SIN CLORO SOBRE 30 G IMP 7702626204208BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7702626204208BP1"
"RECKITT";"VANISH";"VANISH OXI ACTION ROSA QUITAMANCHAS DOYPACK 240 GR 7702626213774";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7702626213774"
"RECKITT";"VANISH";"VANISH OXI ACTION CRISTAL WHITE DOYPACK 240 GR 7702626213781";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7702626213781"
"RECKITT";"VANISH";"VANISH QUITAMANCHAS PRELAVADOR BARRA 75GR 7891035040191";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7891035040191"
"RECKITT";"VANISH";"VANISH SUPER BARRA WHITE QUITA MANCHAS 68GR 7891035040276";"BARRA";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7891035040276"
